"","hgnc_symbol","entrez_gene_id","gene_biotype","percentage_gc_content","transcript_count","chromosome_name","start_position","end_position","strand","cds_length","three_prime_utr_length","transcription_factor","transcription_cofactor","chromatin_remodeller","plasma_membrane","apoptosis","cell_cycle_phase"
"ENSG00000137563","GGH",8836,"protein_coding",38.86,8,"8",63015079,63039171,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,"G0"
"ENSG00000137571","SLCO5A1",81796,"protein_coding",40.04,8,"8",69667047,69835064,-1,939,127,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137573","SULF1",23213,"protein_coding",40.34,23,"8",69466624,69660915,1,2616,2379,NA,FALSE,FALSE,TRUE,TRUE,NA
"ENSG00000137574","TGS1",96764,"protein_coding",40.02,3,"8",55773142,55825448,1,162,86,NA,TRUE,FALSE,FALSE,FALSE,NA
"ENSG00000137575","SDCBP",6386,"protein_coding",35.86,13,"8",58552924,58582860,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137601","NEK1",4750,"protein_coding",37.08,8,"4",169393275,169612629,-1,3861,1114,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137628","DDX60",55601,"protein_coding",36.27,6,"4",168216293,168318807,-1,359,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137642","SORL1",6653,"protein_coding",43.56,13,"11",121452203,121633693,1,6645,NA,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000137648","TMPRSS4",56649,"protein_coding",48.55,21,"11",118077012,118121890,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137656","BUD13",84811,"protein_coding",41.56,3,"11",116748170,116772988,-1,1860,311,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137672","TRPC6",7225,"protein_coding",37.74,7,"11",101451564,101872562,-1,2796,1390,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137673","MMP7",4316,"protein_coding",37.54,3,"11",102520508,102530753,-1,804,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137691","C11orf70",85016,"protein_coding",39.98,5,"11",102047443,102084560,1,726,102,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137692","DCUN1D5",84259,"protein_coding",36.06,11,"11",103062076,103092215,-1,204,102,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137700","SLC37A4",2542,"protein_coding",55.91,17,"11",119024114,119030906,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137709","POU2F3",25833,"protein_coding",48.07,7,"11",120236640,120319944,1,381,NA,"Pou",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137710","RDX",5962,"protein_coding",39.96,18,"11",110174880,110296722,-1,1752,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137713","PPP2R1B",5519,"protein_coding",44.57,12,"11",111726908,111766427,-1,1806,3714,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137714","FDX1",2230,"protein_coding",39.82,1,"11",110429883,110464881,1,555,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137720","C11orf1",64776,"protein_coding",42.92,5,"11",111878935,111885975,1,573,188,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137726","FXYD6",53826,"protein_coding",50.05,18,"11",117820075,117877486,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137731","FXYD2",486,"protein_coding",51.98,8,"11",117800844,117828698,-1,195,5,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137745","MMP13",4322,"protein_coding",36.44,3,"11",102942995,102955734,-1,1152,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137752","CASP1",834,"protein_coding",36.98,16,"11",105025443,105035250,-1,906,NA,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000137760","ALKBH8",91801,"protein_coding",36.18,7,"11",107502726,107565746,-1,675,1479,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137764","MAP2K5",5607,"protein_coding",39.55,12,"15",67542709,67807123,1,548,260,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137766","UNC13C",440279,"protein_coding",36.05,5,"15",54012904,54633414,1,6645,6300,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137767","SQRDL",58472,"protein_coding",44.92,8,"15",45631148,45691294,1,424,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137770","CTDSPL2",51496,"protein_coding",40.06,11,"15",44427234,44529038,1,259,62,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137776","SLTM",79811,"protein_coding",38.73,26,"15",58879045,58933653,-1,534,163,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000137801","THBS1",7057,"protein_coding",43.51,8,"15",39581079,39599466,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137802","MAPKBP1",23005,"protein_coding",49.09,17,"15",41774434,41827855,1,210,134,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137804","NUSAP1",51203,"protein_coding",44.52,13,"15",41332694,41381050,1,1323,863,NA,FALSE,FALSE,FALSE,FALSE,"G2"
"ENSG00000137806","NDUFAF1",51103,"protein_coding",46.09,4,"15",41387349,41402519,-1,786,99,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137807","KIF23",9493,"protein_coding",39.36,13,"15",69414246,69448427,1,1116,119,NA,FALSE,FALSE,FALSE,FALSE,"G2"
"ENSG00000137809","ITGA11",22801,"protein_coding",49.23,7,"15",68296533,68432162,-1,3570,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137812","CASC5",57082,"protein_coding",41.23,13,"15",40594020,40664342,1,243,35,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137814","HAUS2",55142,"protein_coding",42.11,10,"15",42548810,42569994,1,288,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137815","RTF1",23168,"protein_coding",45.65,7,"15",41408408,41483563,1,2133,2875,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137817","PARP6",56965,"protein_coding",43.94,23,"15",72241181,72272999,-1,756,79,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137818","RPLP1",6176,"protein_coding",47.38,5,"15",69452784,69456194,1,345,686,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137819","PAQR5",54852,"protein_coding",46.86,6,"15",69298947,69407780,1,993,3957,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137821","LRRC49",54839,"protein_coding",38.17,29,"15",70853239,71053657,1,204,147,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137822","TUBGCP4",27229,"protein_coding",42.65,12,"15",43369221,43409771,1,249,128,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137824","RMDN3",55177,"protein_coding",49.18,11,"15",40735884,40755851,-1,1413,NA,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000137825","ITPKA",3706,"protein_coding",59.71,4,"15",41493393,41503551,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137831","UACA",55075,"protein_coding",37.36,14,"15",70654554,70763593,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137841","PLCB2",5330,"protein_coding",56.84,15,"15",40278176,40307935,-1,262,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137842","TMEM62",80021,"protein_coding",40.55,15,"15",43123279,43185146,1,123,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137843","PAK6",56924,"protein_coding",55.24,17,"15",40238759,40277487,1,2046,10,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000137845","ADAM10",102,"protein_coding",37.38,17,"15",58588807,58749978,-1,176,183,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137857","DUOX1",53905,"protein_coding",52.9,12,"15",45129933,45165576,1,1335,118,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137860","SLC28A2",9153,"protein_coding",41.15,4,"15",45252230,45277845,1,215,77,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137868","STRA6",64220,"protein_coding",55.21,22,"15",74179466,74212267,-1,1434,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137871","ZNF280D",54816,"protein_coding",37.52,17,"15",56630181,56918571,-1,1266,36,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137872","SEMA6D",80031,"protein_coding",38.82,18,"15",47184101,47774223,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137875","BCL2L10",10017,"protein_coding",52.23,2,"15",52109263,52112775,-1,615,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137876","RSL24D1",51187,"protein_coding",36.26,6,"15",55180806,55197067,-1,252,180,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137877","SPTBN5",51332,"protein_coding",59.31,2,"15",41848144,41894077,-1,11025,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137880","GCHFR",2644,"protein_coding",57.52,6,"15",40764020,40767710,1,255,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137936","BCAR3",8412,"protein_coding",45.08,10,"1",93561786,93847150,-1,1506,453,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137941","TTLL7",79739,"protein_coding",35.53,14,"1",83865028,83999150,-1,2010,80,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137942","FNBP1L",54874,"protein_coding",37.34,6,"1",93448131,93554661,1,1355,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137944","CCBL2",56267,"protein_coding",38.59,5,"1",88935773,88992953,-1,1365,366,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137947","GTF2B",2959,"protein_coding",39.88,7,"1",88852932,88891944,-1,675,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137948","BRDT",676,"protein_coding",39.43,21,"1",91949371,92014426,1,2706,151,NA,FALSE,TRUE,FALSE,FALSE,NA
"ENSG00000137955","RABGGTB",5876,"protein_coding",37.86,14,"1",75786197,75795079,1,459,11,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137959","IFI44L",10964,"protein_coding",34.5,10,"1",78619922,78646145,1,292,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137960","GIPC2",54810,"protein_coding",38.79,2,"1",77979542,78138449,1,948,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137962","ARHGAP29",9411,"protein_coding",38.07,5,"1",94148988,94275068,-1,1182,609,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137965","IFI44",10561,"protein_coding",35.31,9,"1",78649796,78664078,1,585,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137968","SLC44A5",204962,"protein_coding",36.99,3,"1",75202131,75611116,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000137970","RPL7P9",NA,"processed_pseudogene",42.97,1,"1",96678874,96679620,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137976","DNASE2B",58511,"protein_coding",39.33,2,"1",84398532,84415018,1,1086,149,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137992","DBT",1629,"protein_coding",39.15,2,"1",100186919,100249834,-1,1449,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000137996","RTCA",8634,"protein_coding",39.07,5,"1",100266207,100292769,1,1101,1264,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138002","IFT172",26160,"protein_coding",45.51,18,"2",27444371,27489789,-1,973,103,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138018","EPT1",85465,"protein_coding",42.63,5,"2",26308547,26395891,1,540,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138028","CGREF1",10669,"protein_coding",50.24,8,"2",27098889,27119115,-1,174,951,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138029","HADHB",3032,"protein_coding",41.22,9,"2",26243170,26290468,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138030","KHK",3795,"protein_coding",53.12,6,"2",27086747,27100772,1,837,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138031","ADCY3",109,"protein_coding",50.99,13,"2",24819169,24919839,-1,595,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138032","PPM1B",5495,"protein_coding",38.72,11,"2",44167969,44244384,1,1440,753,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138035","PNPT1",87178,"protein_coding",39.78,7,"2",55634265,55693910,-1,418,53,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138036","DYNC2LI1",51626,"protein_coding",37.57,10,"2",43774039,43810010,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138039","LHCGR",3973,"protein_coding",41.23,6,"2",48686775,48755730,-1,2100,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000138050","THUMPD2",80745,"protein_coding",36.6,9,"2",39736060,39779267,-1,912,114,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138061","CYP1B1",1545,"protein_coding",44.41,7,"2",38066973,38109902,-1,519,NA,NA,FALSE,FALSE,FALSE,FALSE,"G0"
"ENSG00000138068","SULT6B1",391365,"protein_coding",41.42,5,"2",37167820,37196598,-1,912,114,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138069","RAB1A",5861,"protein_coding",42.71,5,"2",65070701,65130106,-1,390,621,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138071","ACTR2",10097,"protein_coding",39.48,5,"2",65227753,65271253,1,1185,2518,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138073","PREB",10113,"protein_coding",57.47,9,"2",27130756,27134675,-1,153,220,"Others",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138074","SLC5A6",8884,"protein_coding",53.48,18,"2",27199587,27212958,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138075","ABCG5",64240,"protein_coding",45.18,4,"2",43812472,43838865,-1,399,197,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138078","PREPL",9581,"protein_coding",37.28,16,"2",44316281,44361862,-1,2184,528,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138079","SLC3A1",6519,"protein_coding",41.62,10,"2",44275458,44321494,1,1659,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138080","EMILIN1",11117,"protein_coding",61.63,2,"2",27078567,27086408,1,1043,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138081","FBXO11",80204,"protein_coding",39.46,11,"2",47789316,47905793,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138083","SIX3",6496,"protein_coding",57.2,1,"2",44941898,44946077,1,999,1316,"Homeobox",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138085","ATRAID",51374,"protein_coding",45.56,8,"2",27212027,27217178,1,855,207,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138092","CENPO",79172,"protein_coding",43.93,9,"2",24793136,24822376,1,885,34,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138095","LRPPRC",10128,"protein_coding",37.13,9,"2",43886508,43996005,-1,1596,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138100","TRIM54",57159,"protein_coding",47.7,4,"2",27282392,27307439,1,1203,552,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138101","DTNB",1838,"protein_coding",41.46,30,"2",25377198,25673647,-1,1884,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138107","ACTR1A",10121,"protein_coding",48.84,6,"10",102479229,102502711,-1,1131,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138109","CYP2C9",1559,"protein_coding",37.78,3,"10",94938658,94989390,1,1473,361,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138111","TMEM180",79847,"protein_coding",53.46,5,"10",102461395,102477045,1,1554,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138115","CYP2C8",1558,"protein_coding",37.59,13,"10",95036772,95069497,-1,1182,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138119","MYOF",26509,"protein_coding",44.36,9,"10",93306429,93482317,-1,3533,190,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138131","LOXL4",84171,"protein_coding",53.26,1,"10",98247690,98268250,-1,2271,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138134","STAMBPL1",57559,"protein_coding",39.34,6,"10",88879734,88975153,1,1311,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138138","ATAD1",84896,"protein_coding",36.12,3,"10",87751512,87841343,-1,1086,1569,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138152","BTBD16",118663,"protein_coding",45.42,3,"10",122271306,122338162,1,1521,76,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138160","KIF11",3832,"protein_coding",39.18,1,"10",92593286,92655395,1,3171,1598,NA,FALSE,FALSE,FALSE,FALSE,"G2"
"ENSG00000138161","CUZD1",50624,"protein_coding",41,7,"10",122832149,122850793,-1,144,292,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138162","TACC2",10579,"protein_coding",48.29,29,"10",121989174,122254545,1,8628,483,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138166","DUSP5",1847,"protein_coding",49.09,2,"10",110497838,110511544,1,1155,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138172","CALHM2",51063,"protein_coding",55.67,7,"10",103446786,103452402,-1,972,362,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138175","ARL3",403,"protein_coding",44.57,1,"10",102673731,102714407,-1,549,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138180","CEP55",55165,"protein_coding",40.68,3,"10",93496632,93529092,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,"G2M"
"ENSG00000138182","KIF20B",9585,"protein_coding",35.15,4,"10",89701610,89774939,1,5343,NA,NA,FALSE,FALSE,FALSE,FALSE,"G2"
"ENSG00000138185","ENTPD1",953,"protein_coding",40.86,12,"10",95711779,95877266,1,1554,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138190","EXOC6",54536,"protein_coding",37.36,7,"10",92834713,93059493,1,462,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138193","PLCE1",51196,"protein_coding",41.11,5,"10",93993989,94332823,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138231","DBR1",51163,"protein_coding",39.44,4,"3",138161012,138174949,-1,1635,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138246","DNAJC13",23317,"protein_coding",36.8,8,"3",132417526,132539032,1,290,332,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138271","GPR87",53836,"protein_coding",39.89,2,"3",151294086,151316952,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138279","ANXA7",310,"protein_coding",40.79,5,"10",73375101,73414076,-1,1401,993,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138286","FAM149B1",317662,"protein_coding",39.89,8,"10",73168166,73244504,1,1749,3484,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000138294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000138297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000138303","ASCC1",51008,"protein_coding",41.33,19,"10",72096032,72217134,-1,417,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138311","ZNF365",22891,"protein_coding",40.26,11,"10",62374192,62672011,1,1224,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138316","ADAMTS14",140766,"protein_coding",52.87,2,"10",70672803,70762441,1,3681,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138326","RPS24",6229,"protein_coding",47.43,14,"10",78033760,78056812,1,393,82,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138336","TET1",80312,"protein_coding",42.09,1,"10",68560656,68694482,1,6411,2667,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138346","DNA2",1763,"protein_coding",42.26,8,"10",68414064,68472121,-1,2604,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138347","MYPN",84665,"protein_coding",40.59,5,"10",68106117,68212017,1,1524,372,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138356","AOX1",316,"protein_coding",41.56,8,"2",200585868,200677064,1,573,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138363","ATIC",471,"protein_coding",41.16,14,"2",215311817,215349773,1,132,68,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138375","SMARCAL1",50485,"protein_coding",43.15,13,"2",216412414,216483053,1,2391,39,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138376","BARD1",580,"protein_coding",36.39,14,"2",214725646,214809711,-1,231,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138378","STAT4",6775,"protein_coding",37.27,10,"2",191029576,191151596,-1,354,328,"STAT",FALSE,FALSE,FALSE,FALSE,"G0"
"ENSG00000138380","CARF",79800,"protein_coding",38.49,20,"2",202912214,202987063,1,163,NA,"Others",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138381","ASNSD1",54529,"protein_coding",37.75,9,"2",189661385,189670831,1,1856,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138382","METTL5",29081,"protein_coding",39.58,13,"2",169810081,169824931,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138385","SSB",6741,"protein_coding",39.88,12,"2",169791933,169812064,1,405,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138386","NAB1",4664,"protein_coding",37.7,10,"2",190646746,190692766,1,1464,2432,NA,TRUE,FALSE,FALSE,FALSE,NA
"ENSG00000138398","PPIG",9360,"protein_coding",37.96,11,"2",169584340,169641406,1,740,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138399","FASTKD1",79675,"protein_coding",37.97,10,"2",169529749,169573875,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138400","MDH1B",130752,"protein_coding",40.67,6,"2",206737763,206765547,-1,852,68,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138411","HECW2",57520,"protein_coding",39.16,6,"2",196194370,196593692,-1,354,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138413","IDH1",3417,"protein_coding",41.27,9,"2",208236227,208266074,-1,1245,813,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138430","OLA1",29789,"protein_coding",36.5,9,"2",174072447,174248698,-1,1191,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138433","CIR1",9541,"protein_coding",37.69,5,"2",174348022,174395715,-1,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA
"ENSG00000138434","SSFA2",6744,"protein_coding",35.71,15,"2",181891833,181930738,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138439","FAM117B",150864,"protein_coding",39.53,2,"2",202635188,202769757,1,1770,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138442","WDR12",55759,"protein_coding",39.21,8,"2",202874782,203014798,-1,1272,6077,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138443","ABI2",10152,"protein_coding",39.51,24,"2",203328219,203447723,1,131,66,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138448","ITGAV",3685,"protein_coding",35.78,8,"2",186590065,186680901,1,3147,NA,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000138449","SLC40A1",30061,"protein_coding",38.25,7,"2",189560579,189583758,-1,601,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138459","SLC35A5",55032,"protein_coding",38.43,7,"3",112561709,112585577,1,360,59,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138463","DIRC2",84925,"protein_coding",38.14,2,"3",122794795,122881139,1,1437,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138468","SENP7",57337,"protein_coding",37.56,8,"3",101324205,101513241,-1,3153,1737,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138495","COX17",10063,"protein_coding",41.28,7,"3",119654513,119677454,-1,176,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138496","PARP9",83666,"protein_coding",42.46,7,"3",122527924,122564577,-1,1200,404,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138587","MNS1",55329,"protein_coding",35.19,3,"15",56421544,56465137,-1,1488,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138592","USP8",9101,"protein_coding",39.77,19,"15",50424380,50514419,1,3039,326,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138593","SECISBP2L",9728,"protein_coding",36.79,11,"15",48988476,49046563,-1,287,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138594","TMOD3",29766,"protein_coding",41.02,12,"15",51829628,51947295,1,642,51,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138600","SPPL2A",84888,"protein_coding",40.43,7,"15",50702266,50765808,-1,1563,5533,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138604","GLCE",26035,"protein_coding",36.64,4,"15",69160584,69272217,1,1662,2972,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138606","SHF",90525,"protein_coding",50.88,11,"15",45167214,45201175,-1,440,156,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000138613","APH1B",83464,"protein_coding",40.76,10,"15",63276018,63309126,1,774,3344,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138614","VWA9",81556,"protein_coding",40.67,17,"15",65578753,65611289,-1,1449,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138617","PARP16",54956,"protein_coding",46.92,5,"15",65234460,65300618,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138621","PPCDC",60490,"protein_coding",47.94,11,"15",75023555,75117462,1,390,254,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000138623","SEMA7A",8482,"protein_coding",57.93,5,"15",74409289,74434467,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000138629","UBL7",84993,"protein_coding",47.95,9,"15",74445977,74461182,-1,345,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
